,station,latitude,longitude,elevation,depth
2382,BPKT,46.883154568,-120.327122534,564.5167314,100.0
2390,BRAD,39.777365403,-119.05145901,1325.7316105,100.0
2401,BRBR,41.230283344,-120.109109183,1819.7434985,100.0
2407,BRD1,39.809273972,-119.002799986,1247.3930722,100.0
2417,BRDY,39.781308381,-119.008618235,1269.0921319,100.0
2429,BREW,48.131523827,-119.68263406,238.5965684,100.0
2466,BRN3,49.269892337,-123.015578633,32.5817899,64.67637894047748
2467,BRNB,49.275055522,-123.021820955,23.1199563,64.70697740610082
2473,BRNT,44.440217621,-118.191320959,1212.6993825,100.0
2481,BROK,39.168766911,-117.942609321,1820.6456258,100.0
2494,BRSP,45.40155314,-121.708505973,2061.2819366,72.6508856325025
2534,BSUM,47.554243424,-122.132300467,336.2981138,55.35087727886987
2548,BTON,45.485806564,-122.797395021,46.7604861,47.14087266785277
2554,BUC2,39.014330562,-122.053090859,14.7998366,100.0
2570,BUFF,40.36141278,-117.266192645,1483.5045347,100.0
2603,BURN,42.779501428,-117.843529435,1180.9208761,100.0
2604,BURR,40.518897859,-119.838997657,1252.2578229,100.0
2617,BUTT,41.478892981,-119.840734753,1747.6665241,100.0
2623,BVAL,39.565428219,-120.237245483,2042.5615471,100.0
2650,C046,48.990597247,-125.458857388,156.5570359,27.21070137409251
2654,C222,50.200115424,-119.317722981,458.2030327,100.0
2678,CABL,42.836098771,-124.563345701,37.8300383,12.637279797497445
2688,CACC,41.745598577,-124.184301057,-21.9578071,14.479841819620688
2691,CACH,39.714143427,-121.805292268,43.4238378,85.24378679204688
2699,CACR,40.309618986,-121.229106695,1364.4929216,98.01705840368903
2715,CAEL,40.421736597,-120.702888241,1456.8599983,100.0
2719,CAEU,40.804995004,-124.136108386,-22.1166424,17.321176372364285
2723,CAFL,41.0181072,-121.431572889,998.4992107,90.69428476422205
2724,CAFM,41.017873186,-121.43108514,996.4300316,90.70719041882226
2770,CALL,39.687786958,-116.77398761,1845.6656792,100.0
2793,CAMI,48.215347583,-122.478632787,10.9674636,51.99900240122419
2799,CAMS,41.314206276,-122.314359192,1068.5514427,67.14736041449964
2802,CAMV,39.148335216,-121.592492577,-4.4212854,97.593748047955
2826,CAOV,39.49631316,-121.609773596,38.1341178,92.96014022456002
2869,CARS,39.14491122,-119.79940749,1750.2469246,100.0
2890,CASI,40.832729602,-119.237200183,1266.5035789,100.0
2916,CATH,46.197302668,-123.367270802,56.3635389,35.69607730947773
2917,CATK,39.335509807,-120.169948862,1796.429298,100.0
2932,CAWI,39.521562493,-122.215705246,19.8388986,75.6301374104772
2937,CAYC,39.145335122,-121.64264022,-4.1091553,96.4063426754428
2956,CBLV,47.614190837,-122.19148251,45.7416995,54.05784560153511
2971,CBRV,50.00150187,-125.246870039,90.6115202,52.78082177888769
3001,CCPW,46.321203762,-117.97859602,497.3522105,100.0
3014,CCYN,39.102369651,-119.347705869,1532.103807,100.0
3125,CHCM,48.010617752,-122.775867102,20.4225422,43.91712036822602
3138,CHEL,47.831555396,-119.989904105,345.5292138,100.0
3139,CHEM,43.22436094,-121.785832788,1439.9693967,77.04832365168062
3184,CHLW,49.143516474,-121.995218364,1.6740223,89.37440398735541
3193,CHNA,39.720322399,-117.061892745,1887.5076582,100.0
3202,CHO5,39.432638614,-121.664963049,16.6471226,92.18832456961286
3203,CHO6,39.432880504,-121.66488474,17.2141058,92.18725887397906
3237,CHST,46.612197492,-122.909574346,58.0944854,42.0082908095666
3257,CHW2,49.152931052,-121.953834771,-0.263696,90.65189284697043
3259,CHWK,49.15660803,-122.008427046,173.9880889,89.38169075170993
3265,CHZZ,45.486515202,-123.978123583,50.7333171,26.19137103181938
3275,CIHL,43.750906343,-121.148683464,1945.5458778,91.97290007983685
3278,CINN,39.805316593,-118.884800927,1288.990815,100.0
3327,CLCV,42.975999887,-122.089393384,1873.816579,69.87622244449238
3332,CLEM,47.204925614,-120.969800817,633.610504,100.0
3341,CLHQ,42.895877684,-122.135997046,1952.4687642,68.80309291865657
3345,CLIO,39.767528463,-120.54938599,1486.3812036,100.0
3355,CLMS,42.922935605,-122.01629776,2705.2860718,71.84191821862713
3367,CLRS,48.820304264,-124.130884816,175.6345114,37.52014926315013
3386,CLWZ,42.934252269,-122.149158426,1869.8370454,68.36201767723695
3395,CMBR,50.053361118,-125.326401778,170.197947,52.266816256147266
3399,CME5,40.441773926,-124.396334452,305.7299662,17.389351758896098
3400,CME6,40.441406208,-124.396329642,304.0719997,17.392272140364945
3486,CNCR,48.538706434,-121.74930132,55.7974876,77.2901951572683
3524,COAL,40.250200508,-118.346110167,1410.4958659,100.0
3526,COAN,47.483944967,-122.174985452,86.9036303,54.133317842483066
3566,COF1,39.605018267,-119.24063374,1251.9892782,100.0
3602,COLD,39.410975813,-117.850876335,1690.8187593,100.0
3615,COLV,48.544764877,-117.90326607,486.1193293,100.0
3630,COND,45.237906408,-120.181378829,865.4101977,100.0
3653,COPP,39.915027351,-118.196875446,1280.6368262,100.0
3679,CORV,44.585535349,-123.304604509,105.6043706,40.07332564993527
3695,COT3,49.102467078,-122.690647085,1.984905,67.869281658389
3702,COTT,41.590714573,-119.341823481,1853.3052894,100.0
3703,COU2,49.689517225,-124.995614119,7.3787531,50.245228181488585
3705,COUG,46.059216377,-122.260774218,151.3853486,57.71104910381294
3707,COUP,48.217311045,-122.685604834,21.0360443,47.76477912571073
3708,COUR,49.689556372,-124.995632061,7.3276199,50.245992181997536
3733,CPCO,43.722100717,-121.233155872,2117.9492391,89.85927993791937
3745,CPRV,50.028532669,-125.268971321,3.1545401,52.91366132960303
3749,CPUD,47.430178015,-120.314224415,186.0632935,100.0
3751,CPXF,46.840085217,-122.256518982,533.6062304,58.06143479959464
3752,CPXX,46.840085232,-122.256518869,533.6090536,58.06143769356246
3756,CRA4,49.522144446,-115.768931969,921.6038357,100.0
3757,CRA5,43.415781657,-118.574936404,1248.2801061,100.0
3770,CRBN,47.081875895,-122.053508594,344.3602797,61.38655867979172
3818,CRNB,49.600238882,-115.669472908,808.8400055,100.0
3829,CROK,46.274599853,-122.912542721,1.0792001,42.78235146984914
